CRU_Site,lon,lat,BIOME,REALM
1,-179.75,-16.25,0, 
2,-179.75,65.25,11,8
3,-179.75,65.75,11,8
4,-179.75,66.25,11,8
5,-179.75,66.75,11,8
6,-179.75,67.25,11,8
7,-179.75,67.75,11,8
8,-179.75,68.25,11,8
9,-179.75,68.75,11,8
10,-179.75,70.75,0, 
11,-179.75,71.25,11,8
12,-179.25,66.25,0, 
13,-179.25,66.75,11,8
14,-179.25,67.25,11,8
15,-179.25,67.75,11,8
16,-179.25,68.25,11,8
17,-179.25,68.75,11,8
18,-179.25,70.75,0, 
19,-179.25,71.25,11,8
20,-179.25,71.75,0, 
21,-178.75,-20.75,0, 
22,-178.75,-18.25,0, 
23,-178.75,65.75,0, 
24,-178.75,66.25,11,8
25,-178.75,66.75,11,8
26,-178.75,67.25,11,8
27,-178.75,67.75,11,8
28,-178.75,68.25,11,8
29,-178.75,68.75,0, 
30,-178.75,70.75,0, 
31,-178.75,71.25,11,8
32,-178.25,-14.25,0, 
33,-178.25,65.25,0, 
34,-178.25,65.75,11,8
35,-178.25,66.25,11,8
36,-178.25,66.75,11,8
37,-178.25,67.25,11,8
38,-178.25,67.75,11,8
39,-178.25,68.25,11,8
40,-178.25,70.75,0, 
41,-178.25,71.25,11,8
42,-177.75,-29.25,0, 
43,-177.75,51.75,0, 
44,-177.75,65.25,0, 
45,-177.75,65.75,11,8
46,-177.75,66.25,11,8
47,-177.75,66.75,11,8
48,-177.75,67.25,11,8
49,-177.75,67.75,11,8
50,-177.75,68.25,0, 
51,-177.75,71.25,11,8
52,-177.25,28.25,0, 
53,-177.25,51.75,11,5
54,-177.25,65.25,0, 
55,-177.25,65.75,11,8
56,-177.25,66.25,11,8
57,-177.25,66.75,11,8
58,-177.25,67.25,11,8
59,-177.25,67.75,11,8
60,-177.25,68.25,0, 
61,-176.75,-44.25,0, 
62,-176.75,-43.75,0, 
63,-176.75,51.75,11,5
64,-176.75,65.75,11,8
65,-176.75,66.25,11,8
66,-176.75,66.75,11,8
67,-176.75,67.25,11,8
68,-176.75,67.75,11,8
69,-176.25,-43.75,4,1
70,-176.25,-13.25,0, 
71,-176.25,65.25,0, 
72,-176.25,65.75,11,8
73,-176.25,66.25,11,8
74,-176.25,66.75,11,8
75,-176.25,67.25,11,8
76,-176.25,67.75,11,8
77,-175.75,64.75,0, 
78,-175.75,65.25,11,8
79,-175.75,65.75,11,8
80,-175.75,66.25,11,8
81,-175.75,66.75,11,8
82,-175.75,67.25,11,8
83,-175.75,67.75,11,8
84,-175.25,-21.25,0, 
