SiteName,ID,Lon,Lat
AdelaideRiver,1,131.1177979,-13.07689953
Calperum,2,140.587677,-34.00271225
CapeTribulation,3,145.4470215,-16.1031723
CowBay,4,145.4271545,-16.2381897
CumberlandPlains,5,150.7236176,-33.61527634
DalyPasture,6,131.3180542,-14.06333256
DalyUncleared,7,131.3881073,-14.15919971
DryRiver,8,132.3705597,-15.25878334
Emerald,9,148.4745941,-23.8586998
Gingin,10,115.7138901,-31.37638855
GreatWesternWoodlands,11,120.6541977,-30.19140053
HowardSprings,12,131.1500549,-12.49520016
Otway,13,142.8000031,-38.51699829
RedDirtMelonFarm,14,132.4799347,-14.56001282
RiggsCreek,15,145.5759888,-36.64988708
Samford,16,152.8777771,-27.3880558
SturtPlains,17,133.3502197,-17.15068817
Tumbarumba,18,148.1516724,-35.6566124
Whroo,19,145.0262146,-36.67304993
WombatStateForest,20,144.0941925,-37.42235947
Yanco,21,146.2907562,-34.98781586
